"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Benny Ayala","R",73,185,0.251,38,24.40514168,0.1,24.51,151.3944223,1.579783597,1.42399176,"healthy"
"Greg Gross","L",70,160,0.287,7,22.95510204,-0.07,22.89,24.3902439,0.84509804,1.311816694,"healthy"
"Jack Brohamer","L",70,165,0.245,30,23.67244898,0.3,23.97,122.4489796,1.477121255,1.367310653,"healthy"
"Von Joshua","L",70,170,0.273,30,24.38979592,-0.25,24.14,109.8901099,1.477121255,1.422804612,"healthy"
"Eddie Milner","L",71,173,0.253,42,24.12596707,-0.24,23.88,166.0079051,1.62324929,1.402394813,"healthy"
"Johnny Jeter","R",73,180,0.244,18,23.74554325,-0.27,23.47,73.7704918,1.255272505,1.372965226,"healthy"
"Angel Salazar","R",72,180,0.212,2,24.40972222,-0.48,23.93,9.433962264,0.301029996,1.424346111,"healthy"
"Tony Oliva","L",73,175,0.304,220,23.08594483,-0.37,22.71,723.6842105,2.342422681,1.321938692,"healthy"
"Cito Gaston","R",75,190,0.256,91,23.74577778,0.31,24.06,355.46875,1.959041392,1.372983369,"healthy"
"Cookie Rojas","R",70,160,0.263,54,22.95510204,0.22,23.18,205.3231939,1.73239376,1.311816694,"healthy"
"Rich Morales","R",71,170,0.195,6,23.7075977,0.44,24.15,30.76923077,0.77815125,1.370029758,"healthy"
"Dan Ford","R",73,185,0.27,121,24.40514168,0.21,24.61,448.1481481,2.08278537,1.42399176,"healthy"
"Ozzie Virgil","R",73,180,0.243,98,23.74554325,-0.06,23.69,403.2921811,1.991226076,1.372965226,"healthy"
"Mike Phillips","L",72,170,0.24,11,23.05362654,-0.41,22.65,45.83333333,1.041392685,1.319438549,"healthy"
"Jay Johnstone","L",73,175,0.267,102,23.08594483,0.44,23.52,382.0224719,2.008600172,1.321938692,"healthy"
"Chico Salmon","R",70,160,0.249,31,22.95510204,0.39,23.34,124.497992,1.491361694,1.311816694,"healthy"
"Joe Niekro","R",73,185,0.156,1,24.40514168,0.1,24.51,6.41025641,0,1.42399176,"healthy"
"Ken Berry","R",72,175,0.255,58,23.73167438,-0.31,23.42,227.4509804,1.763427994,1.37189233,"healthy"
"Dave Concepcion","R",74,155,0.267,101,19.89864865,0.01,19.91,378.2771536,2.004321374,1.07536946,"healthy"
"Mike Richardt","R",72,170,0.226,4,23.05362654,-0.01,23.05,17.69911504,0.602059991,1.319438549,"healthy"
"Al Downing","R",71,175,0.127,2,24.40487998,-0.11,24.3,15.7480315,0.301029996,1.423971515,"healthy"
"Jake Gibbs","L",72,180,0.233,25,24.40972222,0.5,24.91,107.2961373,1.397940009,1.424346111,"healthy"
"Garry Hancock","L",72,175,0.247,12,23.73167438,0.13,23.86,48.58299595,1.079181246,1.37189233,"healthy"
"Rick Rhoden","R",75,195,0.238,9,24.37066667,0.23,24.6,37.81512605,0.954242509,1.421324774,"healthy"
"Denny McLain","R",73,185,0.133,1,24.40514168,-0.05,24.36,7.518796992,0,1.42399176,"healthy"
"Chuck Hiller","L",71,170,0.243,20,23.7075977,-0.38,23.33,82.30452675,1.301029996,1.370029758,"healthy"
"Jorge Orta","L",70,170,0.278,130,24.38979592,-0.4,23.99,467.6258993,2.113943352,1.422804612,"healthy"
"Dave Cash","R",71,170,0.283,21,23.7075977,0.01,23.72,74.204947,1.322219295,1.370029758,"healthy"
"Billy Conigliaro","R",72,180,0.256,40,24.40972222,0.16,24.57,156.25,1.602059991,1.424346111,"healthy"
"Billy Cowan","R",72,170,0.236,40,23.05362654,-0.27,22.79,169.4915254,1.602059991,1.319438549,"healthy"
"Billy Smith","B",74,185,0.23,17,23.75,0.06,23.81,73.91304348,1.230448921,1.37331,"healthy"
"Tony Perez","R",74,175,0.279,379,22.46621622,-0.08,22.39,1358.422939,2.57863921,1.273996487,"healthy"
"Chuck Schilling","R",70,160,0.239,23,22.95510204,-0.23,22.73,96.23430962,1.361727836,1.311816694,"healthy"
"Jim Lefebvre","B",72,180,0.251,74,24.40972222,0.5,24.91,294.8207171,1.86923172,1.424346111,"healthy"
"Steve Whitaker","L",72,180,0.23,24,24.40972222,-0.34,24.07,104.3478261,1.380211242,1.424346111,"healthy"
"Manny Jimenez","L",73,185,0.272,26,24.40514168,-0.38,24.02,95.58823529,1.414973348,1.42399176,"healthy"
"Ken Henderson","B",74,180,0.257,122,23.10810811,-0.06,23.04,474.7081712,2.086359831,1.323653243,"healthy"
"Vern Fuller","R",73,170,0.232,14,22.42634641,-0.19,22.24,60.34482759,1.146128036,1.270912158,"healthy"
"Paul Casanova","R",76,180,0.225,50,21.90789474,0.3,22.21,222.2222222,1.698970004,1.230804737,"healthy"
"Terry Crowley","L",72,180,0.25,42,24.40972222,-0.17,24.24,168,1.62324929,1.424346111,"healthy"
"Lou Clinton","R",73,185,0.247,65,24.40514168,0.43,24.84,263.1578947,1.812913357,1.42399176,"healthy"
"Nate Colbert","R",74,190,0.243,173,24.39189189,-0.25,24.15,711.9341564,2.238046103,1.422966757,"healthy"
"Phil Roof","R",74,190,0.215,43,24.39189189,-0.04,24.36,200,1.633468456,1.422966757,"healthy"
"Chuck Hinton","R",73,180,0.264,113,23.74554325,0.17,23.92,428.030303,2.053078443,1.372965226,"healthy"
"Tim Cullen","R",73,185,0.22,9,24.40514168,0.49,24.89,40.90909091,0.954242509,1.42399176,"healthy"
"Tim Harkness","L",74,182,0.235,14,23.36486486,-0.41,22.95,59.57446809,1.146128036,1.343515946,"healthy"
"George Foster","R",73,180,0.274,348,23.74554325,-0.38,23.36,1270.072993,2.541579244,1.372965226,"healthy"
