name,handedness,height,weight,avg,HR,BMI,power,log10HR,lm
Mark Brouhard,R,73,210,0.259,25,27.7031338,96.52509653,1.397940009,1.679124431
Mike Young,B,74,195,0.247,72,25.03378378,291.4979757,1.857332496,1.472623513
Chris Speier,R,73,175,0.246,112,23.08594483,455.2845528,2.049218023,1.321938692
Gene Michael,B,74,183,0.229,15,23.49324324,65.50218341,1.176091259,1.353447297
Vic Harris,B,71,165,0.217,13,23.01031541,59.9078341,1.113943352,1.316088
Mike Fischlin,R,73,165,0.22,3,21.76674798,13.63636364,0.477121255,1.219885624
Don Money,R,73,170,0.261,176,22.42634641,674.3295019,2.245512668,1.270912158
Joe Rudi,R,74,200,0.264,179,25.67567568,678.030303,2.252853031,1.522280271
Jim Rice,R,74,200,0.298,382,25.67567568,1281.879195,2.582063363,1.522280271
Gil Garrido,R,69,150,0.237,1,22.14870825,4.219409283,0,1.24943407
Marty Perez,R,71,160,0.246,22,22.31303313,89.43089431,1.342422681,1.262146243
Tom Matchick,L,73,173,0.215,4,22.82210546,18.60465116,0.602059991,1.301528078
Jack Perconte,L,70,160,0.27,2,22.95510204,7.407407407,0.301029996,1.311816694
Ed Kirkpatrick,L,71,195,0.238,85,27.19400913,357.1428571,1.929418926,1.639738546
Jerry Grote,R,70,185,0.252,39,26.54183673,154.7619048,1.591064607,1.589286489
Ellie Hendricks,L,73,175,0.22,62,23.08594483,281.8181818,1.792391689,1.321938692
Jim Beauchamp,R,74,190,0.231,14,24.39189189,60.60606061,1.146128036,1.422966757
Tito Fuentes,B,71,175,0.268,45,24.40487998,167.9104478,1.653212514,1.423971515
Ron Brand,R,67,167,0.239,3,26.15304077,12.55230126,0.477121255,1.559209234
Leo Cardenas,R,71,150,0.257,118,20.91846856,459.1439689,2.071882007,1.154262728
Art Shamsky,L,73,168,0.253,68,22.16250704,268.7747036,1.832508913,1.250501545
Ron Cey,R,70,185,0.261,316,26.54183673,1210.727969,2.499687083,1.589286489
Skip Jutze,R,71,190,0.215,3,26.49672684,13.95348837,0.477121255,1.585796788
Butch Wynegar,B,73,190,0.255,65,25.0647401,254.9019608,1.812913357,1.475018294
Ron LeFlore,R,72,200,0.288,59,27.12191358,204.8611111,1.770852012,1.634161235
Bill Russell,R,72,175,0.263,46,23.73167438,174.904943,1.662757832,1.37189233
Gene Tenace,R,72,190,0.241,201,25.7658179,834.0248963,2.303196057,1.529253673
Bubba Morton,R,70,175,0.267,14,25.10714286,52.43445693,1.146128036,1.478298572
Ellie Rodriguez,R,71,185,0.245,16,25.79944455,65.30612245,1.204119983,1.53185503
Darrel Chaney,B,74,188,0.217,14,24.13513514,64.51612903,1.146128036,1.403104054
Dick Nen,L,74,200,0.224,21,25.67567568,93.75,1.322219295,1.522280271
Bill Freehan,R,75,203,0.262,200,25.37048889,763.3587786,2.301029996,1.498671021
Steve Nicosia,R,70,185,0.248,11,26.54183673,44.35483871,1.041392685,1.589286489
Ted Savage,R,73,185,0.233,34,24.40514168,145.9227468,1.531478917,1.42399176
Pete Mackanin,R,74,190,0.226,30,24.39189189,132.7433628,1.477121255,1.422966757
Rich Dauer,R,72,180,0.257,43,24.40972222,167.3151751,1.633468456,1.424346111
Rowland Office,L,72,170,0.259,32,23.05362654,123.5521236,1.505149978,1.319438549
Rick Leach,L,73,180,0.268,18,23.74554325,67.1641791,1.255272505,1.372965226
Dwayne Murphy,L,73,185,0.246,166,24.40514168,674.796748,2.220108088,1.42399176
